time,nonmps_trials,mps_trials,gpu_mib
04:18:53,175,4,9493
04:20:54,175,8,9493
04:22:54,175,8,9493
04:24:54,175,8,9493
04:26:54,176,8,9493
04:28:54,182,12,9493
04:30:55,194,12,9493
04:32:55,201,12,9493
04:34:56,201,15,9493
04:36:56,202,16,9493
04:38:56,207,16,9493
04:40:56,216,16,9493
04:43:02,227,20,9493
04:45:02,231,20,9493
04:47:02,233,20,9493
04:49:03,235,24,9493
04:51:03,240,28,9493
04:53:03,240,28,9493
04:55:03,240,28,9493
04:57:03,240,28,9493
04:59:04,240,28,9493
05:01:04,240,28,9493
05:03:04,240,28,9493
05:05:04,240,28,9493
05:07:04,240,28,9493
05:09:04,240,28,9493
05:11:05,240,28,9493
05:13:05,240,32,9493
05:15:06,240,35,9493
05:17:07,240,36,9493
05:19:09,240,36,9493
05:21:10,240,37,9493
05:23:11,240,42,9493
05:25:11,240,44,9493
05:27:17,240,46,9493
05:29:20,240,46,9493
05:31:20,243,46,9493
05:33:21,246,48,9493
05:35:21,246,48,9493
05:37:21,246,48,9493
05:39:21,246,48,9493
05:41:22,249,48,9493
05:43:22,249,48,9493
05:45:23,253,48,9493
05:47:23,257,48,9493
05:49:23,260,48,10671
05:51:23,260,48,9811
05:53:23,263,48,9813
05:55:24,264,48,9493
05:57:24,267,48,9839
05:59:25,268,48,9841
06:01:25,272,48,9493
06:03:25,275,48,6263
06:05:25,275,48,6265
06:07:25,275,48,5917
06:09:26,275,48,6225
06:11:26,275,48,6265
06:13:26,275,48,5917
06:15:28,275,48,5917
06:17:28,291,48,5917
06:19:28,300,48,5917
06:21:29,353,48,5917
06:23:29,374,48,5523
06:25:29,380,48,3159
06:27:29,380,48,3159
06:29:29,380,48,3159
06:31:29,380,48,3159
06:33:30,380,48,3159
06:35:30,380,48,3159
06:37:30,380,48,3159
06:39:30,380,48,3159
06:41:30,380,48,3159
06:43:30,380,48,3159
06:45:30,380,48,3159
06:47:31,380,48,3159
06:49:31,380,48,3159
06:51:31,380,48,3159
06:53:31,380,48,3159
06:55:31,380,48,3159
06:57:31,380,48,3159
06:59:31,380,48,3159
07:01:31,380,48,3159
07:03:32,380,48,3159
07:05:32,380,48,3159
07:07:32,380,48,3159
07:09:32,380,48,3159
07:11:32,380,48,3159
07:13:32,380,48,3159
07:15:32,380,48,3159
07:17:33,380,48,3159
